,hoopR_ID,athlete,nba_api_ID
193,6585,Andre Drummond,203083
194,6588,Evan Fournier,203095
195,6589,Draymond Green,203110
196,6591,Maurice Harkless,203090
197,6592,John Henson,203089
198,6597,Terrence Jones,203093
199,6601,Michael Kidd-Gilchrist,203077
200,6603,Jeremy Lamb,203087
201,6605,Meyers Leonard,203086
202,6606,Damian Lillard,203081
203,6609,Khris Middleton,203114
204,6610,Darius Miller,203121
205,6615,Kyle O'Quinn,203124
206,6616,Miles Plumlee,203101
207,6617,Austin Rivers,203085
208,6619,Terrence Ross,203082
209,6621,Tomas Satoransky,203107
210,6622,Mike Scott,203118
211,6626,Marquis Teague,203104
212,6628,Dion Waiters,203079
213,6631,Tyler Zeller,203092
214,6637,Kent Bazemore,203145
215,6644,Scott Machado,203159
216,2141179,Andre Ingram,201281
217,2198243,Aaron Jackson,1628935
218,2234666,Jonathan Gibson,1626780
219,2282117,John Holland,204066
220,2282205,Malcolm Delaney,1627098
221,2282734,Kalin Lucas,203564
222,2284101,Justin Holiday,203200
223,2325495,Larry Drew II,203580
224,2325499,C.J. Williams,203710
225,2326015,Willie Reed,203186
226,2326307,Seth Curry,203552
227,2326411,James Nunnally,203263
228,2327577,JaMychal Green,203210
229,2328418,Scotty Hopson,203816
230,2333797,Jeff Withey,203481
231,2451037,Daniel Theis,1628464
232,2488653,Mason Plumlee,203486
233,2488674,Travis Wear,204037
234,2488689,Sean Kilpatrick,203930
235,2488713,Jack Cooley,204022
236,2488826,Rodney McGruder,203585
237,2488911,Brandon Paul,203464
238,2488938,Reggie Hearn,203687
239,2488945,Tim Frazier,204025
240,2488958,Solomon Hill,203524
241,2489530,Troy Daniels,203584
242,2489663,Kelly Olynyk,203482
243,2489664,David Stockton,204065
244,2489693,Ryan Broekhoff,1629151
245,2489716,Matthew Dellavedova,203521
246,2489785,Ian Clark,203546
247,2490089,Mike Muscala,203488
248,2490149,CJ McCollum,203468
249,2490620,Robert Covington,203496
250,2491079,Nate Wolters,203489
251,2527963,Victor Oladipo,203506
252,2528096,Mike James,1628455
253,2528210,Tim Hardaway Jr.,203501
254,2528327,Kyle Collinsworth,1627858
255,2528353,Tony Snell,203503
256,2528386,Joe Young,1626202
257,2528393,Tarik Black,204028
258,2528426,Jordan Clarkson,203903
259,2528473,Okaro White,1627855
260,2528586,Walt Lemon Jr.,1627215
261,2528588,Doug McDermott,203926
262,2528693,Torrey Craig,1628470
263,2528779,Reggie Bullock Jr.,203493
264,2528787,Lorenzo Brown,203485
265,2528794,Joe Harris,203925
266,2528803,Jarell Eddie,204067
267,2530276,Tyler Johnson,204020
268,2530530,T.J. McConnell,204456
269,2530572,Langston Galloway,204038
270,2530596,Andre Roberson,203460
271,2530750,Markel Brown,203900
272,2530780,Shabazz Napier,203894
273,2530923,Alfonzo McKinnie,1628035
274,2531039,Vander Blue,203505
275,2531047,Jerian Grant,1626170
276,2531100,Adreian Payne,203940
277,2531210,Allen Crabbe,203459
278,2531352,Eric Moreland,203961
279,2531362,Anthony Brown,1626148
280,2531364,Josh Huestis,203962
281,2531367,Dwight Powell,203939
282,2531797,Jordan McRae,203895
283,2534781,Gorgui Dieng,203476
284,2566745,Quinn Cook,1626188
285,2566748,Marshall Plumlee,1627850
286,2566769,Malcolm Brogdon,1627763
287,2578185,Dorian Finney-Smith,1627827
288,2578213,Ben McLemore,203463
289,2578239,Pat Connaughton,1626192
290,2578240,Khem Birch,203920
291,2578259,Darrun Hilliard,1626199
292,2579251,Myke Henry,1627988
293,2579258,Cody Zeller,203469
294,2579260,Trey Burke,203504
295,2579293,Jarrod Uthoff,1627784
296,2579294,Frank Kaminsky,1626163
297,2579321,James Ennis III,203516
298,2579326,Alan Williams,1626210
299,2579466,Jonathon Simmons,203613
300,2579476,Jalen Jones,1627883
301,2579492,Julian Washburn,1627395
302,2580349,Ron Baker,1627758
