hoopR_ID,athlete,nba_api_ID,pst_ID
6583,Anthony Davis,203076,54
6585,Andre Drummond,203083,266
6588,Evan Fournier,203095,161
6589,Draymond Green,203110,279
6591,Maurice Harkless,203090,295
6592,John Henson,203089,176
6597,Terrence Jones,203093,146
6601,Michael Kidd-Gilchrist,203077,97
6603,Jeremy Lamb,203087,73
6605,Meyers Leonard,203086,404
6606,Damian Lillard,203081,13
6609,Khris Middleton,203114,214
6610,Darius Miller,203121,517
6615,Kyle O'Quinn,203124,297
6616,Miles Plumlee,203101,38
6617,Austin Rivers,203085,158
6619,Terrence Ross,203082,203
6621,Tomas Satoransky,203107,322
6622,Mike Scott,203118,173
6626,Marquis Teague,203104,-1
6628,Dion Waiters,203079,308
6631,Tyler Zeller,203092,328
6637,Kent Bazemore,203145,186
6644,Scott Machado,203159,-1
2141179,Andre Ingram,201281,-1
2198243,Aaron Jackson,1628935,-1
2234666,Jonathan Gibson,1626780,-1
2282117,John Holland,204066,222
2282205,Malcolm Delaney,1627098,356
2282734,Kalin Lucas,203564,-1
2284101,Justin Holiday,203200,28
2325495,Larry Drew II,203580,1035
2325499,C.J. Williams,203710,400
2326015,Willie Reed,203186,188
2326307,Seth Curry,203552,294
2326411,James Nunnally,203263,-1
2327577,JaMychal Green,203210,311
2328418,Scotty Hopson,203816,811
2333797,Jeff Withey,203481,364
2451037,Daniel Theis,1628464,480
2488653,Mason Plumlee,203486,476
2488674,Travis Wear,204037,494
2488689,Sean Kilpatrick,203930,349
2488713,Jack Cooley,204022,411
2488826,Rodney McGruder,203585,306
2488911,Brandon Paul,203464,447
2488938,Reggie Hearn,203687,467
2488945,Tim Frazier,204025,299
2488958,Solomon Hill,203524,488
2489530,Troy Daniels,203584,268
2489663,Kelly Olynyk,203482,179
2489664,David Stockton,204065,500
2489693,Ryan Broekhoff,1629151,537
2489716,Matthew Dellavedova,203521,128
2489785,Ian Clark,203546,210
2490089,Mike Muscala,203488,330
2490149,CJ McCollum,203468,32
2490620,Robert Covington,203496,194
2491079,Nate Wolters,203489,376
2527963,Victor Oladipo,203506,70
2528096,Mike James,1628455,-1
2528210,Tim Hardaway Jr.,203501,18
2528327,Kyle Collinsworth,1627858,-1
2528353,Tony Snell,203503,234
2528386,Joe Young,1626202,175
2528393,Tarik Black,204028,12
2528426,Jordan Clarkson,203903,166
2528473,Okaro White,1627855,375
2528586,Walt Lemon Jr.,1627215,-1
2528588,Doug McDermott,203926,245
2528693,Torrey Craig,1628470,421
2528779,Reggie Bullock Jr.,203493,138
2528787,Lorenzo Brown,203485,213
2528794,Joe Harris,203925,49
2528803,Jarell Eddie,204067,155
2530276,Tyler Johnson,204020,46
2530530,T.J. McConnell,204456,149
2530572,Langston Galloway,204038,816
2530596,Andre Roberson,203460,144
2530750,Markel Brown,203900,463
2530780,Shabazz Napier,203894,153
2530923,Alfonzo McKinnie,1628035,399
2531039,Vander Blue,203505,395
2531047,Jerian Grant,1626170,239
2531100,Adreian Payne,203940,110
2531210,Allen Crabbe,203459,124
2531352,Eric Moreland,203961,190
2531362,Anthony Brown,1626148,134
2531364,Josh Huestis,203962,100
2531367,Dwight Powell,203939,492
2531797,Jordan McRae,203895,227
2534781,Gorgui Dieng,203476,412
2566745,Quinn Cook,1626188,372
2566748,Marshall Plumlee,1627850,272
2566769,Malcolm Brogdon,1627763,345
2578185,Dorian Finney-Smith,1627827,397
2578213,Ben McLemore,203463,112
2578239,Pat Connaughton,1626192,109
2578240,Khem Birch,203920,377
2578259,Darrun Hilliard,1626199,223
2579251,Myke Henry,1627988,453
2579258,Cody Zeller,203469,111
2579260,Trey Burke,203504,129
2579293,Jarrod Uthoff,1627784,346
2579294,Frank Kaminsky,1626163,228
2579321,James Ennis III,203516,37
2579326,Alan Williams,1626210,347
2579466,Jonathon Simmons,203613,182
2579476,Jalen Jones,1627883,407
2579492,Julian Washburn,1627395,-1
2580349,Ron Baker,1627758,241
2580365,Larry Nance Jr.,1626204,90
2580782,Spencer Dinwiddie,203915,180
2580898,Chasson Randle,1626184,357
2580913,Dewayne Dedmon,203473,120
2580980,Malcolm Miller,1626259,443
2581018,Kentavious Caldwell-Pope,203484,137
2581084,Johnny O'Bryant III,203948,360
2581177,Rodney Hood,203918,42
2581184,Anthony Gill,1630264,692
2581190,Josh Richardson,1626196,246
2583632,Royce O'Neale,1626220,630
2583639,Elfrid Payton,203901,57
2585637,Dairis Bertans,1629541,-1
2594818,James Michael McAdoo,203949,151
2594922,Otto Porter Jr.,203490,87
2595209,Damion Lee,1627814,510
2595229,Briante Weber,1627362,225
2595231,Treveon Graham,1626203,273
2595435,Abdel Nader,1627846,452
2595516,Norman Powell,1626181,15
2595592,Jordan Loyd,1628070,-1
2596107,Alex Len,203458,72
2596108,Michael Carter-Williams,203487,305
2596112,Javonte Green,1629750,612
2596158,Shane Larkin,203499,418
